date,stock_id,trade_volume,trade_value,transaction_count,source_url,source_month
2026-07-09,2317,40528079,9629944166,34038,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260701&stockNo=2317&response=csv,2026-07
2026-07-13,2317,37504587,8964234781,30781,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260701&stockNo=2317&response=csv,2026-07
2026-07-14,2317,48112076,11224964857,49604,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260701&stockNo=2317&response=csv,2026-07
2026-07-15,2317,36108846,8631497928,29220,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260701&stockNo=2317&response=csv,2026-07
2026-07-16,2317,39074704,9439036151,30798,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260701&stockNo=2317&response=csv,2026-07
2026-07-17,2317,69006897,16280738874,59544,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260701&stockNo=2317&response=csv,2026-07
2026-07-20,2317,48579978,11422510146,37763,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260701&stockNo=2317&response=csv,2026-07
2026-07-21,2317,51471036,12544250590,47986,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260701&stockNo=2317&response=csv,2026-07
2026-07-22,2317,67787081,17204588878,57938,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260701&stockNo=2317&response=csv,2026-07
2026-07-23,2317,63787974,16358184879,53611,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260701&stockNo=2317&response=csv,2026-07
2026-07-24,2317,33694573,8518599943,32769,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260701&stockNo=2317&response=csv,2026-07
2026-07-27,2317,35908207,8967672916,32663,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260701&stockNo=2317&response=csv,2026-07
2026-07-28,2317,52860433,12780302040,61879,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260701&stockNo=2317&response=csv,2026-07
2026-07-29,2317,84937463,20205542596,71078,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260701&stockNo=2317&response=csv,2026-07
2026-07-30,2317,77132664,17818235582,84798,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260701&stockNo=2317&response=csv,2026-07
2026-07-31,2317,99413798,24664339053,79109,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260701&stockNo=2317&response=csv,2026-07
